id,parkingName,codeParking,adress,location,capacity,description,phoneContact,mailContact 
3d9b144c-5a94-418e-9910-068ca11e5ab1,"Parking Accueil",44,"Place de l'Accueil 10/100, B-1348 Louvain-la-Neuve","50.67129689999999, 4.6179686",1776," Parking avec accès direct au Centre Commercial de l'Esplanade. Responsable d'Exploitation : Monsieur Jeremy GUILMAIN.","+32 02 880 20 01",customers@effia.be
3e626bff-771d-4707-b177-21df02adffc4,"Parking IEPR",83,"Route de Longchamp, B-1348 Louvain-la-Neuve","50.6712172,4.6052503",37,"Parking de l'UCL
https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
4984a101-3381-40c4-88f9-04720abb261b,"Parking Socrate",79,"Boulevard de Wallonie Nord, B-1348 Louvain-la-Neuve","50.670603038991565, 4.611025448106379",192," Parking de l'UCL <a href="https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking" rel="noopener noreferrer" target="_blank">https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking</a>",,customers@effia.be
4d7d22b6-fc2a-4227-afe6-a2faeafba68a,"Parking Les Halles",76,"Boulevard de Wallonie Sud, B-1348 Louvain-la-Neuve","50.6718276,4.614711",84,"Parking de l'UCL
https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
57047e74-d748-4318-b0b3-dfa02bc6f01d,"Parking Montesquieu -1",77,"Boulevard André Oleffe, B-1348 Louvain-la-Neuve","50.6675051,4.6006549",92,"Parking de l'UCL
https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
57483f66-5937-4885-8aa3-400ec8b053e3,"Parking Cathédrale",38,"Place de la Cathédrale, B-4000 Liège","50.6410419, 5.5716779",468," Parking situé en plein Centre-Ville. Accès aisé aux commerces. Responsable d'Exploitation : Monsieur Vincent MONISSE.","+32 02 880 20 01",customers@effia.be
5a801af9-e771-440e-8cff-664c39bc51a1,"Parking Grand-Rue",42,"Grand Rue, B-1348 Louvain-la-Neuve","50.6720814, 4.617355",608," Liaison directe avec le Théâtre Jean VILAR. Responsable d'Exploitation : Monsieur Jeremy GUILMAIN.","+32 02 880 20 01",customers@effia.be
5cc4b8d8-67d9-47dd-8b1a-7e34c2d833ae,"Parking Charles Magnette",39,"Rue Soeurs-de-Hasque 1b, B-4000 Liège","50.6406657, 5.573727900000001",487," Parking proche du marché hebdomadaire de « La Batte » et de l’ULG. Parking du Théâtre de Liège. Sortie possible 24h/24 avec votre ticket d'entrée. Garez votre vélo GRATUITEMENT en toute sécurité ! (4 places sécurisées à côté de l’emplacement 487) Responsable d'Exploitation : Monsieur Vincent MONISSE.","+32 02 880 20 01",customers@effia.be
699bad93-6014-4e75-b09f-f137ba295a77,"Parking Shopping 1",25,"Rue Rooten 8 Bus 1, B-3600 Genk","50.965897, 5.5041278",1250," Parking du Centre Commercial Shopping 1. Parking accessible via A.Remansstraat et Europalaan. Après fermeture du Centre Commercial, parking accessible par l’entrée piétonne sur Europalaan. Tarif spécial Soirée/nuit (de 19h à 3h) : 1,00€/heure avec un maximum de 4,00€. Tarif horaire du dimanche : 1,00€/heure avec un maximum de 4,00€. IMPORTANT : Si vous quittez dans les 90 minutes, votre solde sera de 0,00 € et vous pourrez sortir GRATUITEMENT. Dans ce cas vous n’êtes pas obligé de vous rendre à une caisse automatique. Responsable d'Exploitation : Monsieur Mark ANTHONUS.","+32 02 880 20 01",customers@effia.be
7068b07c-80ac-4b10-a5c1-18e61ce7afdc,"Parking Moerman",55,"Cichoreistraat, B-8800 Roeselare","50.950034, 3.1258151",307," Accès via Chicoreistraat. Le Centre-Ville, marché et gare SNCB à proximités. Responsable d'Exploitation : Monsieur Chamil CHAKHIEV.","+32 02 880 20 01",customers@effia.be
70e9f2c2-83df-4813-b6d7-3102a4f855da,"Parking Guimard",87,"Rue Guimard 1, B-1000 Bruxelles","50.8438744, 4.3685162",400," Situé au coeur du quartier européen et à 50m de la petite ceinture et du Square Frère-Orban, a mi-chemin entre la rue Belliard et la rue de la Loi, ce parking vous offre des places de parking disponibles de 7h à 20h en semaine et accessibles avec badge personnel uniquement. Le parking est surveillé par un gardien ce qui vous garantit une totale sécurité pour votre véhicule. Idéal pour les travailleurs du secteur ou les riverains recherchant la facilité et la tranquillité. Nombre de place limité.  Responsable d'Exploitation : Monsieur Bilal EL JYLALY.","+32 02 880 20 01",customers@effia.be
711d377e-1701-462a-a4ad-1dadf92b0dad,"Parking Stuivenberg",32,"Somméstraat 12A, B-2060 Anvers","51.2223097, 4.4376204",455," Parking de l’hôpital ZNA Stuivenberg. Responsable d'Exploitation : Monsieur Mark ANTHONUS.","+32 02 880 20 01",customers@effia.be
73af63da-8db2-404c-a0d7-8903ec7af404,"Parking Vleurgat",46,"Chaussée de Vleurgat 164 -166, B-1000 Bruxelles","50.822511, 4.3671185",120," Parking situé à proximité de l’Avenue Louise. Responsable d'Exploitation : Monsieur Bilal EL JYLALY.","+32 02 880 20 01",customers@effia.be
830873a9-6d7c-4159-a964-2792c3ebc099,"Parking Sablon",74,"Boulevard de Wallonie Sud, B-1348 Louvain-la-Neuve","50.66821344402975, 4.6138152333436455",190," Parking de l'UCL <a href="https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking" rel="noopener noreferrer" target="_blank">https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking</a>",,customers@effia.be
83a66de3-9651-46bc-bfb4-d73d06cd1696,"Parking Vinci",80,"Avenue Théodore Schwann, B-1348 Louvain-la-Neuve","50.6660112,4.6179281",102,"Parking de l'UCL
https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
8fd17028-432d-4b43-857e-b3eca40415cb,"Parking Cinquantenaire",50,"Rue des Ménapiens 18, B-1040 Bruxelles","50.8396982, 4.4014234",85," Parking situé sous la Galerie du Cinquantenaire, à 50m de l’Avenue de Tervuren. Responsable d'Exploitation : Monsieur Bilal EL JYLALY","+32 02 880 20 01",customers@effia.be
a3589a0d-3a0d-488f-98d6-a0987f39ba6d,"Parking Platinum",47,"Rue du Magistrat 1, B-1050 Bruxelles","50.8252447, 4.36526",66," 2 entrées possibles pour accéder au parking : via l’Avenue Louise et via la Rue du Magistrat. Responsable d'Exploitation : Monsieur Bilal EL JYLALY.","+32 02 880 20 01",customers@effia.be
a72648e0-9bb5-41d4-b015-bda3d565f8b7,"Parking Langestraat",26,"Predikherenrei 4A, B-8000 Bruges","51.20842589999999, 3.2336439",200," Parking situé à proximité de nombreux sites touristiques et historiques : La Grand-Place, Rue commerciale Wollestraat, Musée de la Bière, Musée de la Torture, le Beffroy, Hôtel de Ville, Palais du Franc de Bruges, … Parking proche des Hôtels Martin’s et Crown Plaza. Lignes de bus à proximité. Responsable d'Exploitation : Monsieur Chamil CHAKHIEV.","+32 051 14 01 70",roeselare@effia.be
a793b344-d97e-4c10-98f7-9d3284ea62da,"Parking Les Conceptionnistes",27,"Rue Saint-Georges 45, B-1400 Nivelles","50.5977069, 4.3274934",120," Parking extérieur situé dans le centre de la Ville, à proximité de la Rue Al’Gaille et de la Rue de Charleroi. Il est à proximité de l’arrêt de bus Place de Lalieux désservi par plusieurs lignes. Responsable d'Exploitation : Monsieur Jeremy GUILMAIN.","+32 02 880 20 01",customers@effia.be
a8055c26-8192-44fd-b52e-3ee39fa94cb8,"Parking Kinépolis",34,"Bondgenotenlaan 145, B-3000 Louvain","50.8813563, 4.711944799999999",130," Parking du cinéma Kinépolis. Parking à proximité de Bondgenotenlaan, Diestestraat, Grote Markt, Oude Markt, Gare de Leuven et Hôtel La Royale. Parking du cinéma Kinépolis. Responsable d'Exploitation : Monsieur Bart BRASSEUR.","+32 02 880 20 01",customers@effia.be
ab4f95de-5b74-4051-a480-09cfa3179383,"Parking Bascule",45,"Rue Saint-Georges 107, B-1050 Bruxelles","50.81618959999999, 4.3683228",140," Parking accessible via la Rue Saint-Georges. Responsable d'Exploitation : Monsieur Bilal EL JYLALY.","+32 02 880 20 01",customers@effia.be
b2473033-ca0f-4b1d-9e10-f7cf3e4e9a28,"Parking Côté Senne",88,"Rue de Nivelles 1, B-1480 Tubize","50.6945182, 4.204528499999999",180," Parking du Centre Commercial Shopping Côté Senne. Ce parking est situé en face de la Brasserie de Tubize. En y stationnant, vous pouvez rejoindre en quelques minutes : Le Musée Communal de la Porte (à 4 min) Le Casino Golden Palace Tubize (à 5 min). Responsable d'Exploitation : Monsieur Jeremy GUILMAIN.","+32 02 880 20 01",customers@effia.be
b718613f-b449-4ab3-a319-ba88ef96b3bd,"Wallen Parking",73,"Wallenstraat 49, B-8800 Roulers","50.9507912, 3.1013651",350," Parking proche du marché et du Centre Commercial. Gare SNCB à proximité. Responsable d'Exploitation : Monsieur Chamil CHAKHIEV.","+32 051 14 01 70",roeselare@effia.be
bb1e442d-a0d3-47c0-84a7-08e78ce58be5,"Parking Grand-Place",8,"Grand-Place, B-1348 Louvain-la-Neuve","50.6675094, 4.6055227",1025," Liaison directe avec les Cinémas, le Musée HERGE et l’AULA MAGNA. Responsable d'Exploitation : Monsieur Jeremy GUILMAIN.","+32 02 880 20 01",customers@effia.be
ce9b5cf6-37c4-4379-b5bc-ac200844c1db,"Parking Leclercq",75,"Boulevard de Wallonie Sud, B-1348 Louvain-la-Neuve","50.66683823249412, 4.6130722771472215",428," Parking de l'UCL <a href="https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking" rel="noopener noreferrer" target="_blank">https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking</a>",,customers@effia.be
cecf4591-443f-4eec-8c1f-b22c5b729878,"Parking Saint-Lambert",40,"Place Saint-Lambert, B-4000 Liège","50.6448127, 5.5735635",500," Parking situé en plein Centre-Ville. Accès direct aux Galeries Saint-Lambert et à l’Espace SainMichel. Proche du Palais de Justice. NOUVEAU : Parking équipé de volets rapides. Ouverture automatique. Avancez doucement jusqu’au volet ! Resonsable d'Exploitation : Monsieur Vincent MONISSE.","+32 02 880 20 01",customers@effia.be
d72a42c6-de05-428d-9684-cb9a91ea2113,"Parking CHR - Théo MATHY",28,"Avenue Albert 1er 185, B-5000 Namur","50.46754, 4.88747",382," Parking de l'Hopital du CHR. Il se situe à l’arrière de l’hôpital (accès latéral gauche de l’hôpital. Responsable d'Exploitation : Monsieur Carl LAURENT. Infos complémentaires : <a href="https://www.chrn.be/parking" rel="noopener noreferrer" target="_blank">https://www.chrn.be/parking</a>","+32 02 880 20 01",customers@effia.be
d94d3a86-a9f4-4305-8475-81eb03816b3f,"Parking du Centre",30,"Rue de Fer 105, B-5000 Namur","50.467010, 4.86531",154," Parking situé dans le haut de la Ville, à proximité de la gare et du centre-ville. Responsable d'Exploitation : Monsieur Carl LAURENT.","+32 02 880 20 01",customers@effia.be
dab41bd3-20c8-4352-bc52-9664701b94b7,"Parking Agro",84,"Avenue Théodore Schwann, B-1348 Louvain-la-Neuve","50.6660112,4.6179281",96,"Parking de l'UCL
https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
e0ad3b72-9b5e-4021-9b64-08bea528df4b,"Parking Les Wallons",81,"Avenue Georges Lemaître, B-1348 Louvain-la-Neuve","50.669649, 4.617146",228,"Parking de l'UCL
https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
e2372f55-9594-4e11-a9cf-261e28981cd5,"Parking Antwerp Shopping",33,"Molenbergstraat 9, B-2000 Antwerpen","51.2202931, 4.4151128",120," Parking de l’Hôtel Quality. Parking situé à proximité des principales zones de shopping : Meir, De Keyserlei, Frankrijklei et Rooseveltplaats. Exploitatieverantwoordelijke XX : Monsieur Mark ANTHONUS","+32 02 880 20 01",customers@effia.be
e8b0d78a-1d5f-4528-9149-804ada012376,"Parking Ladeuze",35,"Monseigneur Ladeuzeplein 20, B-3000 Louvain","50.8785642, 4.7075135",750," Parking proche du M-Museum, du Theater Hotel et du Leuven City Hostel. Marché le vendredi. Responsable d'Exploitation : Monsieur Bart BRASSEUR.","+32 02 880 20 01",customers@effia.be
ea17fbe9-5e8e-415f-adb6-f62b93a3f1e6,"Parking De Munt",54,"Rue Henri Horriestraat 29, B-8800 Roulers","50.9473369, 3.1246625",202," Parking proche du marché et du Centre Commercial. Gare SNCB à proximité. Responsable d'Exploitation : Monsieur Chamil CHAKHIEV.","+32 051 14 01 70",roeselare@effia.be
f14db8dd-68e8-4c22-8722-d70d4b4fc531,"Parking Matongé",49,"Chaussée de Wavre 23 - B-1050 Bruxelles","50.83712269999999, 4.3633715",90," Parking situé à 50m de la Chaussée d’Ixelles. Responsable d'Exploitation : Monsieur Bilal EL JYLALY.","+32 02 880 20 01",customers@effia.be
f168ef07-f404-46d2-915f-8bfdcb876a9a,"Voirie : stationnement dans la ville de Roulers",91,"B-8800 Roulers","50.95040, 3.12626",7000," La ville de Roulers, en collaboration avec la S.A. PARKEREN ROESELARE, travaillent ensemble sur une politique de stationnement optimale pour assurer une mobilité fluide, une diminution du trafic et une optimalisation du stationnement.","+32 051 14 01 70",roeselare@effia.be
f4b70913-df24-494e-906b-fa51a632c9cf,"Parking Cammerpoorte",31,"Nationalestraat 38-40, B-2000 Anvers","51.2167221, 4.3991573",152," Parking de l’Hôtel NATIONAL. Parking proche du Centre-Ville et de la « Groenplaats ». Hauteurs maximales autorisées : 2,60m au rez - 2m au +1 et 1,85m au -1. Responsable d'Exploitation : Monsieur Mark ANTHONUS.","+32 02 880 20 01",customers@effia.be
f72d361b-1345-4994-abc4-8cce99cd3b4e,"Parking Montesquieu -2 / -3",78,"Boulevard André Oleffe, B-1348 Louvain-la-Neuve","50.6675051,4.6006549",187,"Parking de l'UCL
https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
f7a7513d-6cf0-4823-b8b0-679fabe2b875,"Parking Center",36,"Van Benedenstraat 2, B-3000 Louvain","50.8802527, 4.706557699999999",213," Parking au Centre-Ville. Accès direct aux rues commerçantes. Responsable d'Exploitation : Monsieur Bart BRASSEUR.","+32 02 880 20 01",customers@effia.be
